"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s442",0.834715337614606,8.32600631479017,0.399172600396768,0.00923824355820625,0.297373814129217,0.0177344990252375,1.32432432432432,128,128,128
"s443",0.834669808775854,8.32908617345986,0.399131468154048,0.00923931674397705,0.297331959684222,0.0177356539646268,1.32732732732733,128,128,128
"s444",0.834624317586087,8.33216414223994,0.39909046262526,0.0092403868571594,0.297290229627383,0.0177368057767123,1.33033033033033,128,128,128
"s445",0.834578863956172,8.33524022405583,0.399049583181229,0.00924145391128212,0.297248623343914,0.0177379544749831,1.33333333333333,128,128,128
"s446",0.834533447797277,8.33831442182604,0.399008829197204,0.00924251791979219,0.297207140223403,0.0177391000728459,1.33633633633634,128,128,128
"s447",0.834488069020877,8.34138673846214,0.398968200052826,0.00924357889605561,0.297165779659769,0.017740242583625,1.33933933933934,128,128,128
"s448",0.834442727538745,8.34445717686879,0.398927695132079,0.00924463685335777,0.297124541051222,0.0177413820205635,1.34234234234234,128,128,128
"s449",0.834397423262957,8.34752573994375,0.398887313823258,0.00924569180490428,0.297083423800227,0.0177425183968234,1.34534534534535,128,128,128
"s450",0.834352156105884,8.35059243057781,0.398847055518916,0.00924674376382144,0.297042427313453,0.017743651725487,1.34834834834835,128,128,128
"s451",0.8343069259802,8.35365725165491,0.398806919615847,0.00924779274315699,0.297001551001748,0.0177447820195567,1.35135135135135,128,128,128
"s452",0.834261732798873,8.35672020605203,0.398766905515023,0.00924883875588061,0.296960794280094,0.0177459092919565,1.35435435435435,128,128,128
"s453",0.834216576475167,8.35978129663928,0.398727012621576,0.00924988181488457,0.296920156567568,0.017747033555532,1.35735735735736,128,128,128
"s454",0.834171456922643,8.36284052627986,0.398687240344749,0.00925092193298436,0.296879637287308,0.0177481548230513,1.36036036036036,128,128,128
"s455",0.834126374055153,8.36589789783005,0.398647588097859,0.00925195912291918,0.296839235866471,0.0177492731072056,1.36336336336336,128,128,128
"s456",0.834081327786842,8.36895341413926,0.39860805529827,0.00925299339735265,0.296798951736197,0.0177503884206096,1.36636636636637,128,128,128
"s457",0.834036318032149,8.37200707805003,0.398568641367345,0.00925402476887329,0.296758784331579,0.0177515007758027,1.36936936936937,128,128,128
"s458",0.833991344705801,8.37505889239797,0.398529345730417,0.00925505324999515,0.296718733091621,0.0177526101852488,1.37237237237237,128,128,128
"s459",0.833946407722815,8.37810886001185,0.398490167816746,0.00925607885315835,0.296678797459202,0.0177537166613376,1.37537537537538,128,128,128
"s460",0.833901506998497,8.38115698371357,0.398451107059497,0.00925710159072967,0.296638976881043,0.0177548202163847,1.37837837837838,128,128,128
"s461",0.833856642448437,8.38420326631816,0.398412162895691,0.00925812147500308,0.296599270807674,0.0177559208626325,1.38138138138138,128,128,128
"s462",0.833811813988516,8.38724771063379,0.39837333476618,0.00925913851820033,0.296559678693395,0.0177570186122507,1.38438438438438,128,128,128
"s463",0.833767021534897,8.39029031946176,0.398334622115606,0.00926015273247144,0.296520199996246,0.0177581134773368,1.38738738738739,128,128,128
"s464",0.833722265004027,8.39333109559658,0.398296024392376,0.0092611641298953,0.296480834177973,0.0177592054699167,1.39039039039039,128,128,128
"s465",0.833677544312636,8.39637004182588,0.398257541048622,0.00926217272248018,0.29644158070399,0.0177602946019453,1.39339339339339,128,128,128
"s466",0.833632859377737,8.39940716093049,0.398219171540165,0.00926317852216426,0.296402439043352,0.017761380885307,1.3963963963964,128,128,128
"s467",0.833588210116622,8.40244245568439,0.398180915326496,0.00926418154081617,0.296363408668721,0.0177624643318163,1.3993993993994,128,128,128
